subid,trial,target,leftpic,rightpic,chosenside,chosenpic,correct,date,time,rt
8,3,apple,apple,banana,L,apple,Y,11/19/2018,15:51:09,3425
8,4,artichoke,onion,artichoke,R,artichoke,Y,11/19/2018,15:51:11,3840
8,5,onion,onion,artichoke,L,onion,Y,11/19/2018,15:51:09,10295
8,0,F1,F1,K1,L,F1,Y,11/19/2018,15:51:11,12723
8,1,C1,C1,A1,L,C1,Y,11/19/2018,15:51:09,10194
8,2,E1,E1,H1,L,E1,Y,11/19/2018,15:51:11,3917
8,3,D1,D1,F1,L,D1,Y,11/19/2018,15:51:09,4188
8,4,A1,A1,K1,L,A1,Y,11/19/2018,15:51:11,7414
8,5,K1,K1,A1,L,K1,Y,11/19/2018,15:51:09,12742
8,6,B1,I1,B1,R,B1,Y,11/19/2018,15:51:11,5402
8,7,H1,C1,H1,R,H1,Y,11/19/2018,15:51:09,13352
8,8,I1,E1,I1,R,I1,Y,11/19/2018,15:51:11,4399
8,9,G1,G1,K1,L,G1,Y,11/19/2018,15:51:09,15138
8,10,A1,I1,A1,R,A1,Y,11/19/2018,15:51:09,5735
8,11,H1,A1,H1,R,H1,Y,11/19/2018,15:51:11,3712
8,12,E1,E1,B1,L,E1,Y,11/19/2018,15:51:09,3853
8,13,G1,D1,G1,R,G1,Y,11/19/2018,15:51:11,6201
8,14,B1,B1,C1,L,B1,Y,11/19/2018,15:51:09,4262
8,15,D1,D1,E1,L,D1,Y,11/19/2018,15:51:11,3178
8,16,F1,C1,F1,R,F1,Y,11/19/2018,15:51:09,9089
8,17,C1,C1,H1,L,C1,Y,11/19/2018,15:51:11,4142
8,18,I1,B1,I1,R,I1,Y,11/19/2018,15:51:09,4306
8,19,K1,K1,D1,L,K1,Y,11/19/2018,15:51:11,5739
8,20,I1,C1,I1,R,I1,Y,11/19/2018,15:51:11,4833
8,21,K1,K1,F1,L,K1,Y,11/19/2018,15:51:09,4937
8,22,F1,F1,B1,L,F1,Y,11/19/2018,15:51:11,4330
8,23,G1,G1,E1,L,G1,Y,11/19/2018,15:51:09,6257
8,24,A1,D1,A1,R,A1,Y,11/19/2018,15:51:11,3435
8,25,H1,D1,H1,R,H1,Y,11/19/2018,15:51:09,3145
8,26,E1,E1,A1,L,E1,Y,11/19/2018,15:51:11,2935
8,27,D1,H1,D1,R,D1,Y,11/19/2018,15:51:09,3871
8,28,B1,K1,B1,R,B1,Y,11/19/2018,15:51:11,5641
8,29,C1,E1,C1,R,C1,Y,11/19/2018,15:51:09,3646
8,30,F1,G1,F1,R,F1,Y,11/19/2018,15:51:09,4986
8,31,K1,K1,B1,L,K1,Y,11/19/2018,15:51:11,8364
8,32,A1,H1,A1,R,A1,Y,11/19/2018,15:51:09,7069
8,33,D1,D1,K1,L,D1,Y,11/19/2018,15:51:11,4450
